rdt_id,ns_lines,rdt_lines,rdt_lines_id,rdt_station_names,rdt_station_codes,cause_nl,cause_en,statistical_cause_nl,statistical_cause_en,cause_group,start_time,end_time,duration_minutes
46962,"Leiden-Alphen a/d Rijn","Leiden Centraal - Utrecht Centraal",147,"Alphen a/d Rijn,Leiden Lammenschans","APN, LDL",wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2023-03-11 07:02:25","2023-03-11 08:19:03",77
46963,Eindhoven-Weert,"Eindhoven - Roermond",67,"Eindhoven Centraal,Geldrop","EHV, GP","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-11 07:10:44","2023-03-11 07:20:27",10
46964,Breda-Tilburg,"Breda - Tilburg",68,"Breda,Gilze-Rijen,Tilburg,Tilburg Reeshof,Tilburg Universiteit","BD, GZ, TB, TBR, TBU","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-11 09:33:52","2023-03-11 10:14:13",40
46965,"Zwolle-Groningen; Zwolle-Leeuwarden","Groningen - Zwolle, Leeuwarden - Zwolle","146,160","Meppel,Zwolle","MP, ZL","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-11 09:34:27","2023-03-11 10:00:20",26
46966,Zwolle-Leeuwarden,"Leeuwarden - Zwolle",160,"Akkrum,Grou-Jirnsum,Leeuwarden","AKM, GW, LW","defecte bovenleiding","damaged overhead wires","defecte bovenleiding","damaged overhead wires",infrastructure,"2023-03-11 12:03:41","2023-03-11 20:06:48",483
46967,Roermond-Sittard,"Roermond - Sittard",73,"Echt,Roermond,Susteren","EC, RM, SRN","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-11 12:19:57","2023-03-11 13:23:57",64
46968,Arnhem-Zutphen,"Arnhem Centraal - Zutphen",132,"Arnhem Centraal,Arnhem Velperpoort,Arnhem Presikhaaf,Dieren,Rheden,Velp","AH, AHP, AHPR, DR, RH, VP","persoon op het spoor","person on the railway track","persoon op het spoor","person on the railway track",external,"2023-03-11 18:18:53","2023-03-11 18:55:40",37
46969,Zutphen-Winterswijk,"Winterswijk - Zutphen",83,"Lichtenvoorde-Groenlo,Winterswijk,Winterswijk West","LTV, WW, WWW",seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2023-03-11 21:15:36","2023-03-12 00:03:19",168
46970,Rotterdam-Dordrecht,"Dordrecht - Rotterdam Centraal",16,"Barendrecht,Rotterdam Lombardijen,Zwijndrecht","BRD, RLB, ZWD","storing in een tunnel","problem in a tunnel","storing in een tunnel","problem in a tunnel",infrastructure,"2023-03-12 05:50:40","2023-03-12 06:40:27",50
46971,Deventer-Almelo,"Almelo - Deventer",88,"Deventer,Deventer Colmschate,Holten,Rijssen,Wierden","DV, DVC, HON, RSN, WDN",aanrijding,collision,aanrijding,collision,accidents,"2023-03-12 08:04:27","2023-03-12 08:43:40",39
46972,Schiphol-Leiden,"Leiden Centraal - Schiphol Airport",22,"Hoofddorp,Schiphol Airport","HFD, SHL",seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2023-03-12 11:42:36","2023-03-12 11:50:20",8
46973,Arnhem-Duisburg-Düsseldorf,"Arnhem Centraal - Basel SBB, Arnhem Centraal - Düsseldorf Hbf, Arnhem Centraal - Frankfurt (M) Hbf","129,178,179","Emmerich,Zevenaar,Emmerich-Elten","EM, ZV, EL","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-12 12:38:35","2023-03-12 13:18:20",40
46974,Arnhem-Duisburg-Düsseldorf,"Arnhem Centraal - Basel SBB, Arnhem Centraal - Düsseldorf Hbf, Arnhem Centraal - Frankfurt (M) Hbf","129,178,179","Emmerich,Zevenaar,Emmerich-Elten","EM, ZV, EL",seinstoring,"signal failure",seinstoring,"signal failure",infrastructure,"2023-03-12 13:56:19","2023-03-12 14:21:16",25
46975,Utrecht-Arnhem,"Arnhem Centraal - Utrecht Centraal",133,"Driebergen-Zeist,Ede-Wageningen,Veenendaal-De Klomp,Maarn","DB, ED, KLP, MRN",aanrijding,collision,aanrijding,collision,accidents,"2023-03-12 19:43:42","2023-03-13 00:07:30",264
46976,Utrecht-Veenendaal,"Rhenen - Utrecht Centraal",166,"Driebergen-Zeist,Maarn,Veenendaal Centrum,Veenendaal West","DB, MRN, VNDC, VNDW",aanrijding,collision,aanrijding,collision,accidents,"2023-03-12 19:54:58","2023-03-13 00:07:35",253
46977,Amersfoort-Ede-Wageningen,"Amersfoort - Ede-Wageningen",47,"Amersfoort Centraal,Barneveld Centrum,Barneveld Noord,Ede-Wageningen,Ede Centrum,Lunteren,Hoevelaken,Barneveld Zuid","AMF, BNC, BNN, ED, EDC, LTN, HVL, BNZ","verstoring elders","disruption elsewhere","verstoring elders","disruption elsewhere",logistical,"2023-03-12 19:55:28","2023-03-12 23:49:52",234
46978,Arnhem-Tiel,"Arnhem Centraal - Tiel",54,"Arnhem Centraal,Arnhem Zuid,Elst,Hemmen-Dodewaard,Kesteren,Opheusden,Tiel,Zetten-Andelst","AH, AHZ, EST, HMN, KTR, OP, TL, ZA","verstoring elders","disruption elsewhere","verstoring elders","disruption elsewhere",logistical,"2023-03-12 20:48:03","2023-03-12 23:49:03",181
46979,Eindhoven-Weert,"Eindhoven - Roermond",67,"Eindhoven Centraal,Geldrop,Heeze,Maarheeze,Weert","EHV, GP, HZE, MZ, WT","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-13 06:03:33","2023-03-13 08:16:07",133
46980,Tilburg-Eindhoven,"'s-Hertogenbosch - Eindhoven, Eindhoven - Tilburg","152,153","Best,Boxtel,Eindhoven Centraal,Eindhoven Strijp-S","BET, BTL, EHV, EHS","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-13 06:06:32","2023-03-13 08:16:01",129
46981,Amsterdam-Enkhuizen,"Amsterdam Centraal - Hoorn",164,"Amsterdam Centraal,Amsterdam Sloterdijk,Hoorn,Purmerend Overwhere,Purmerend,Purmerend Weidevenne,Zaandam,Zaandam Kogerveld","ASD, ASS, HN, PMO, PMR, PMW, ZD, ZDK","voorwerp in de bovenleiding","an object in the overhead wires","voorwerp in de bovenleiding","an object in the overhead wires",external,"2023-03-13 06:58:24","2023-03-13 08:33:01",95
46982,"Leeuwarden-Harlingen Haven; Leeuwarden-Stavoren","Harlingen Haven - Leeuwarden, Leeuwarden - Stavoren","103,104","Deinum,Dronryp,Leeuwarden,Mantgum,Sneek,Sneek Noord","DEI, DRP, LW, MG, SK, SKND","defecte spoorbrug","damaged railway bridge","defecte spoorbrug","damaged railway bridge",infrastructure,"2023-03-13 07:41:52","2023-03-13 08:50:34",69
46983,"Amsterdam-Schiphol-Leiden; Leiden-Duivendrecht-Lelystad","Leiden Centraal - Schiphol Airport",22,"Hoofddorp,Leiden Centraal,Nieuw Vennep,Sassenheim","HFD, LEDN, NVP, SSH","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-13 07:57:29","2023-03-13 08:43:51",46
46984,"Den Haag-Rotterdam; Leiden-Rotterdam","Den Haag HS - Rotterdam Centraal",11,"Delft,Delft Campus,Den Haag HS,Den Haag Moerwijk,Rijswijk,Schiedam Centrum","DT, DTCP, GV, GVMW, RSW, SDM","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-13 08:18:32","2023-03-13 08:40:21",22
46985,Amersfoort-Zwolle,"Amersfoort - Zwolle",48,"Ermelo,Harderwijk,Nunspeet,Putten","EML, HD, NS, PT","boom op het spoor","tree on the track","boom op het spoor","tree on the track",external,"2023-03-13 10:53:05","2023-03-13 11:35:05",42
46986,Utrecht-Amersfoort,"Amersfoort - Utrecht Centraal",134,"Amersfoort Centraal,Bilthoven,Den Dolder,Utrecht Centraal,Utrecht Overvecht","AMF, BHV, DLD, UT, UTO","rommel op het spoor","garbage on the railway track","rommel op het spoor","garbage on the railway track",external,"2023-03-13 11:00:29","2023-03-13 11:04:13",4
46987,Zwolle-Kampen,"Kampen - Zwolle",49,"Kampen,Zwolle,Zwolle Stadshagen","KPN, ZL, ZLSH","problemen met de personeelsinzet","staffing problems","problemen met de personeelsinzet","staffing problems",staff,"2023-03-13 11:49:59","2023-03-13 23:17:56",688
46988,"Eindhoven-Maastricht; Eindhoven-Heerlen","Eindhoven - Roermond",67,"Eindhoven Centraal,Geldrop,Heeze,Maarheeze,Weert","EHV, GP, HZE, MZ, WT","sein- en wisselstoring","signalling and points failure","sein- en wisselstoring","signalling and points failure",infrastructure,"2023-03-13 12:06:05","2023-03-13 13:20:40",75
46989,"Amsterdam-Zaandam-Alkmaar; Haarlem-Alkmaar","Alkmaar - Amsterdam Centraal",161,"Alkmaar,Castricum,Heiloo,Uitgeest","AMR, CAS, HLO, UTG","defecte bovenleiding","damaged overhead wires","defecte bovenleiding","damaged overhead wires",infrastructure,"2023-03-13 13:13:40","2023-03-14 17:00:30",1667
46990,"Rotterdam-Breda (HSL); Amsterdam-Schiphol-Rotterdam (HSL)","Amsterdam Centraal - Schiphol Airport, Breda - Rotterdam Centraal (HSL), Rotterdam Centraal - Schiphol Airport (HSL)","15,24,32","Amsterdam Centraal,Amsterdam Lelylaan,Amsterdam Sloterdijk,Breda,Rotterdam Centraal,Schiphol Airport","ASD, ASDL, ASS, BD, RTD, SHL","harde wind op de hogesnelheidslijn","strong winds on the high speed line","harde wind op de hogesnelheidslijn","strong winds on the high speed line",weather,"2023-03-13 13:19:28","2023-03-13 14:09:17",50
46991,Amsterdam-Hoofddorp,"Alkmaar - Amsterdam Centraal, Amsterdam Centraal - Haarlem, Amsterdam Centraal - Hoorn, Amsterdam Centraal - Schiphol Airport","32,112,161,164","Amsterdam Centraal,Amsterdam Sloterdijk","ASD, ASS","voorwerp in de bovenleiding","an object in the overhead wires","voorwerp in de bovenleiding","an object in the overhead wires",external,"2023-03-13 13:43:22","2023-03-13 15:37:53",115
46992,Schiphol-Amersfoort,"Amersfoort - Schiphol Airport",148,"Amsterdam Zuid,Bussum Zuid,Diemen Zuid,Duivendrecht,Hilversum,Naarden-Bussum,Amsterdam RAI,Schiphol Airport,Weesp,Hilversum Media Park","ASDZ, BSMZ, DMNZ, DVD, HVS, NDB, RAI, SHL, WP, HVSM","voorwerp in de bovenleiding","an object in the overhead wires","voorwerp in de bovenleiding","an object in the overhead wires",external,"2023-03-13 13:54:48","2023-03-13 15:51:35",117
46993,"Amsterdam-Schiphol-Rotterdam (HSL)","Amsterdam Centraal - Schiphol Airport",32,"Amsterdam Centraal,Amsterdam Lelylaan,Amsterdam Sloterdijk,Schiphol Airport","ASD, ASDL, ASS, SHL","voorwerp in de bovenleiding","an object in the overhead wires","voorwerp in de bovenleiding","an object in the overhead wires",external,"2023-03-13 14:08:30","2023-03-13 15:51:28",103
46994,Rotterdam-Dordrecht,"Dordrecht - Rotterdam Centraal",16,"Barendrecht,Rotterdam Lombardijen,Zwijndrecht","BRD, RLB, ZWD","inzet van de brandweer","deployment of the fire department","inzet van de brandweer","deployment of the fire department",external,"2023-03-13 15:12:16","2023-03-13 17:45:31",153
46995,Dordrecht-Gorinchem,"Dordrecht - Geldermalsen",55,"Dordrecht,Dordrecht Stadspolders,Sliedrecht,Sliedrecht Baanhoek","DDR, DDRS, SDT, SDTB","defect spoor","defective railway track","defect spoor","defective railway track",infrastructure,"2023-03-13 15:45:16","2023-03-13 15:51:03",6
46996,Zwolle-Deventer,"Deventer - Zwolle",94,"Olst,Wijhe,Zwolle","OST, WH, ZL",stroomstoring,"power failure",stroomstoring,"power failure",infrastructure,"2023-03-13 15:48:55","2023-03-13 17:27:12",98
46997,"Amsterdam-Zaandam-Alkmaar; Amsterdam Sloterdijk-Hoorn Kersenboogerd","Alkmaar - Amsterdam Centraal, Amsterdam Centraal - Hoorn, Schiphol Airport - Zaandam","161,164,165","Amsterdam Sloterdijk,Zaandam","ASS, ZD","hinder op het spoor","hindrance on the railway","hinder op het spoor","hindrance on the railway",external,"2023-03-13 15:59:02","2023-03-13 17:12:10",73
46998,Leeuwarden-Stavoren,"Leeuwarden - Stavoren",104,"Hindeloopen,IJlst,Koudum-Molkwerum,Sneek,Stavoren,Workum","HNP, IJT, KMW, SK, STV, WK",herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2023-03-13 16:04:47","2023-04-11 10:04:04",41339
46999,"Gouda-Den Haag HS","Den Haag Centraal - Den Haag HS, Den Haag Centraal - Utrecht Centraal","10,143","Den Haag HS,Den Haag Centraal,Voorburg,Den Haag Ypenburg,Zoetermeer","GV, GVC, VB, YPB, ZTM","defecte bovenleiding","damaged overhead wires","defecte bovenleiding","damaged overhead wires",infrastructure,"2023-03-13 16:14:56","2023-03-13 16:21:07",6
47000,"Leeuwarden-Harlingen Haven","Harlingen Haven - Leeuwarden",103,"Deinum,Dronryp,Leeuwarden","DEI, DRP, LW","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-13 16:42:05","2023-03-13 16:55:11",13
47001,"Amsterdam Zuid","Amersfoort - Schiphol Airport, Lelystad Centrum - Schiphol Airport, Schiphol Airport - Utrecht Centraal","137,144,148","Amsterdam Zuid",ASDZ,"voorwerp in de bovenleiding","an object in the overhead wires","voorwerp in de bovenleiding","an object in the overhead wires",external,"2023-03-13 17:05:43","2023-03-13 20:08:46",183
47002,Utrecht-Gouda,"Den Haag Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal","142,143","Gouda,Gouda Goverwelle,Utrecht Centraal,Utrecht Terwijde,Vleuten,Woerden,Utrecht Leidsche Rijn","GD, GDG, UT, UTT, VTN, WD, UTLR","inzet van hulpdiensten","an emergency call","inzet van hulpdiensten","an emergency call",external,"2023-03-13 17:49:16","2023-03-13 18:27:31",38
47003,Utrecht-Leiden,"Den Haag Centraal - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal","142,143,147","Utrecht Centraal,Utrecht Terwijde,Vleuten,Woerden,Utrecht Leidsche Rijn","UT, UTT, VTN, WD, UTLR","inzet van hulpdiensten","an emergency call","inzet van hulpdiensten","an emergency call",external,"2023-03-13 17:58:29","2023-03-13 18:27:19",29
47004,"Amsterdam Sloterdijk-Hoorn Kersenboogerd","Amsterdam Centraal - Hoorn",164,"Purmerend,Purmerend Weidevenne,Zaandam,Zaandam Kogerveld","PMR, PMW, ZD, ZDK","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-13 18:09:59","2023-03-13 18:31:20",21
47005,'s-Hertogenbosch-Eindhoven,"'s-Hertogenbosch - Eindhoven",153,"Boxtel,'s-Hertogenbosch,Vught","BTL, HT, VG","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-13 22:44:00","2023-03-13 23:03:59",20
47006,Arnhem-Winterswijk,"Arnhem Centraal - Winterswijk",82,"Doetinchem,Gaanderen,Terborg","DTC, GDR, TBG","inzet van hulpdiensten","an emergency call","inzet van hulpdiensten","an emergency call",external,"2023-03-13 22:47:47","2023-03-13 23:04:10",16
47007,Hengelo-Enschede,"Enschede - Hengelo",92,"Enschede,Hengelo,Enschede Kennispark","ES, HGL, ESK",aanrijding,collision,aanrijding,collision,accidents,"2023-03-13 23:39:15","2023-03-13 23:49:43",10
47008,Zwolle-Emmen,"Emmen - Zwolle",159,"Coevorden,Dalfsen,Dalen,Emmen,Emmen Zuid,Gramsbergen,Hardenberg,Mariënberg,Nieuw Amsterdam,Ommen,Zwolle","CO, DL, DLN, EMN, EMNZ, GBG, HDB, MRB, NA, OMN, ZL","staking bij Arriva","strike of Arriva staff","staking bij Arriva","strike of Arriva staff",staff,"2023-03-14 02:02:34","2023-03-15 02:22:13",1460
47009,Almelo-Hardenberg,"Almelo - Mariënberg",96,"Almelo,Daarlerveen,Hardenberg,Mariënberg,Vroomshoop,Vriezenveen","AML, DA, HDB, MRB, VHP, VZ","staking bij Arriva","strike of Arriva staff","staking bij Arriva","strike of Arriva staff",staff,"2023-03-14 02:02:38","2023-03-15 02:22:45",1460
47010,Apeldoorn-Zutphen,"Apeldoorn - Zutphen",85,"Apeldoorn,Apeldoorn De Maten,Klarenbeek,Voorst-Empe,Zutphen","APD, APDM, KBK, VEM, ZP","staking bij Arriva","strike of Arriva staff","staking bij Arriva","strike of Arriva staff",staff,"2023-03-14 02:02:43","2023-03-16 02:03:26",2881
47011,Zutphen-Winterswijk,"Winterswijk - Zutphen",83,"Lichtenvoorde-Groenlo,Ruurlo,Vorden,Winterswijk,Winterswijk West,Zutphen","LTV, RL, VD, WW, WWW, ZP","staking bij Arriva","strike of Arriva staff","staking bij Arriva","strike of Arriva staff",staff,"2023-03-14 02:02:47","2023-03-16 02:03:17",2881
47012,"Arnhem-Doetinchem; Arnhem-Winterswijk","Arnhem Centraal - Winterswijk",82,"Arnhem Centraal,Arnhem Velperpoort,Aalten,Didam,Doetinchem,Doetinchem De Huet,Duiven,Gaanderen,Terborg,Varsseveld,Wehl,Winterswijk,Zevenaar,Westervoort","AH, AHP, ATN, DID, DTC, DTCH, DVN, GDR, TBG, VSV, WL, WW, ZV, WTV","staking bij Arriva","strike of Arriva staff","staking bij Arriva","strike of Arriva staff",staff,"2023-03-14 02:02:50","2023-03-16 02:03:09",2880
47013,Arnhem-Tiel,"Arnhem Centraal - Tiel",54,"Arnhem Centraal,Arnhem Zuid,Elst,Hemmen-Dodewaard,Kesteren,Opheusden,Tiel,Zetten-Andelst","AH, AHZ, EST, HMN, KTR, OP, TL, ZA","staking bij Arriva","strike of Arriva staff","staking bij Arriva","strike of Arriva staff",staff,"2023-03-14 02:02:54","2023-03-16 02:03:01",2880
47014,Arnhem-Doetinchem,"Arnhem Centraal - Winterswijk",82,"Arnhem Centraal,Arnhem Velperpoort,Didam,Doetinchem,Doetinchem De Huet,Duiven,Wehl,Zevenaar,Westervoort","AH, AHP, DID, DTC, DTCH, DVN, WL, ZV, WTV","staking bij Breng","strike of Breng staff","staking bij Breng","strike of Breng staff",staff,"2023-03-14 02:13:04","2023-03-15 02:17:42",1445
47015,Eindhoven-Weert,"Eindhoven - Roermond",67,"Maarheeze,Weert","MZ, WT","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 06:44:55","2023-03-14 07:12:54",28
47016,"Utrecht-Den Haag","Den Haag Centraal - Utrecht Centraal",143,"Gouda,Gouda Goverwelle,Den Haag Centraal,Voorburg,Den Haag Ypenburg,Zoetermeer,Zoetermeer Oost,Lansingerland-Zoetermeer","GD, GDG, GVC, VB, YPB, ZTM, ZTMO, LLZM","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 06:46:24","2023-03-14 07:22:28",36
47017,Amersfoort-Zwolle,"Amersfoort - Zwolle",48,"Amersfoort Vathorst,Ermelo,Harderwijk,'t Harde,Nijkerk,Nunspeet,Putten,Wezep,Zwolle","AVAT, EML, HD, HDE, NKK, NS, PT, WZ, ZL",wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2023-03-14 07:42:29","2023-03-14 09:03:03",81
47018,Utrecht-Amersfoort,"Amersfoort - Utrecht Centraal",134,"Amersfoort Centraal,Bilthoven,Den Dolder,Utrecht Centraal,Utrecht Overvecht","AMF, BHV, DLD, UT, UTO",wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2023-03-14 08:13:50","2023-03-14 08:27:53",14
47019,Eindhoven-Weert,"Eindhoven - Roermond",67,"Geldrop,Heeze,Maarheeze,Weert","GP, HZE, MZ, WT","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 08:44:06","2023-03-14 09:14:05",30
47020,"Hengelo Zwolle","Almelo - Hengelo, Almelo - Zwolle, Amersfoort - Zwolle, Berlin Ostbahnhof - Hengelo, Bielefeld Hbf - Hengelo, Deventer - Zwolle, Emmen - Zwolle, Enschede - Hengelo, Groningen - Zwolle, Hengelo - Oldenzaal, Hengelo - Zutphen, Kampen - Zwolle, Leeuwarden - Zwolle, Lelystad Centrum - Zwolle","48,49,89,90,91,92,94,95,124,131,146,159,160,174","Hengelo,Zwolle","HGL, ZL",systeemstoring,"system failure",systeemstoring,"system failure",infrastructure,"2023-03-14 08:47:55","2023-03-14 13:20:24",272
47021,Amsterdam-Uitgeest,"Alkmaar - Amsterdam Centraal",161,"Krommenie-Assendelft,Uitgeest,Wormerveer,Zaandam,Koog aan de Zaan,Zaandijk Zaanse Schans","KMA, UTG, WM, ZD, KZ, ZZS","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 09:22:00","2023-03-14 10:10:47",49
47022,"Den Haag-Rotterdam","Den Haag Centraal - Den Haag HS",10,"Den Haag HS,Den Haag Centraal","GV, GVC","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 10:09:21","2023-03-14 10:52:42",43
47023,"Utrecht-Tiel; Utrecht-Eindhoven","'s-Hertogenbosch - Utrecht Centraal, Tiel - Utrecht Centraal","150,151","Culemborg,Geldermalsen,Houten Castellum","CL, GDM, HTNC","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 10:42:38","2023-03-14 11:06:03",23
47024,Lelystad-Zwolle,"Lelystad Centrum - Zwolle",131,"Zwolle,Kampen Zuid","ZL, KPNZ",wisselstoring,"points failure",wisselstoring,"points failure",infrastructure,"2023-03-14 12:12:23","2023-03-14 14:19:28",127
47025,Nijmegen-'s-Hertogenbosch,"'s-Hertogenbosch - Nijmegen",57,"'s-Hertogenbosch,'s-Hertogenbosch Oost,Oss,Oss West,Rosmalen","HT, HTO, O, OW, RS",herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2023-03-14 12:14:33","2023-03-14 14:19:15",125
47026,Almere-Lelystad,"Almere Oostvaarders - Utrecht Centraal, Amsterdam Centraal - Lelystad Centrum, Lelystad Centrum - Schiphol Airport","144,145,149","Almere Centrum,Almere Buiten,Almere Oostvaarders,Almere Parkwijk,Lelystad Centrum","ALM, ALMB, ALMO, ALMP, LLS","beschadigde spoorbrug","damaged railway bridge","beschadigde spoorbrug","damaged railway bridge",accidents,"2023-03-14 12:29:20","2023-03-14 14:20:22",111
47027,Rotterdam-Dordrecht,"Dordrecht - Rotterdam Centraal",16,"Barendrecht,Dordrecht,Rotterdam Lombardijen,Rotterdam Blaak,Rotterdam Centraal,Rotterdam Stadion,Rotterdam Zuid,Zwijndrecht","BRD, DDR, RLB, RTB, RTD, RTST, RTZ, ZWD","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 12:46:19","2023-03-14 13:02:04",16
47028,Dordrecht-Breda,"Breda - Dordrecht",170,"Breda,Breda-Prinsenbeek,Lage Zwaluwe","BD, BDPB, ZLW",herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2023-03-14 14:20:40","2023-03-14 22:01:09",460
47029,Dordrecht-Roosendaal,"Dordrecht - Roosendaal",171,"Dordrecht,Dordrecht Zuid,Oudenbosch,Roosendaal,Lage Zwaluwe,Zevenbergen","DDR, DDZD, ODB, RSD, ZLW, ZVB",herstelwerkzaamheden,"repair works",herstelwerkzaamheden,"repair works","engineering work","2023-03-14 14:33:14","2023-03-14 22:00:58",448
47030,Utrecht-Rotterdam,"Rotterdam Centraal - Utrecht Centraal",142,"Capelle Schollevaar,Gouda,Gouda Goverwelle,Nieuwerkerk a/d IJssel,Rotterdam Alexander,Rotterdam Centraal,Rotterdam Noord,Utrecht Centraal,Utrecht Terwijde,Vleuten,Woerden,Utrecht Leidsche Rijn","CPS, GD, GDG, NWK, RTA, RTD, RTN, UT, UTT, VTN, WD, UTLR","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 15:40:52","2023-03-14 17:00:15",79
47031,Utrecht-Rotterdam,"Rotterdam Centraal - Utrecht Centraal",142,"Capelle Schollevaar,Gouda,Gouda Goverwelle,Nieuwerkerk a/d IJssel,Rotterdam Alexander,Rotterdam Centraal,Rotterdam Noord,Utrecht Centraal,Utrecht Terwijde,Vleuten,Woerden,Utrecht Leidsche Rijn","CPS, GD, GDG, NWK, RTA, RTD, RTN, UT, UTT, VTN, WD, UTLR","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 15:41:15","2023-03-14 15:43:06",2
47032,"Alphen a/d Rijn-Gouda","Alphen a/d Rijn - Gouda",8,"Alphen a/d Rijn,Boskoop,Gouda,Waddinxveen,Waddinxveen Noord,Boskoop Snijdelwijk,Waddinxveen Triangel","APN, BSK, GD, WAD, WADN, BSKS, WADT","voorwerp in de bovenleiding","an object in the overhead wires","voorwerp in de bovenleiding","an object in the overhead wires",external,"2023-03-14 15:42:54","2023-03-14 22:01:17",378
47033,Amersfoort-Ede-Wageningen,"Amersfoort - Ede-Wageningen",47,"Amersfoort Centraal,Barneveld Centrum,Barneveld Noord,Ede-Wageningen,Ede Centrum,Lunteren,Hoevelaken,Barneveld Zuid","AMF, BNC, BNN, ED, EDC, LTN, HVL, BNZ","staking bij Connexxion","strike of Connexxion staff","staking bij Connexxion","strike of Connexxion staff",staff,"2023-03-14 18:22:43","2023-03-15 02:16:45",474
47034,Zwolle-Leeuwarden,"Leeuwarden - Zwolle",160,"Steenwijk,Wolvega","SWK, WV",aanrijding,collision,aanrijding,collision,accidents,"2023-03-14 19:32:17","2023-03-14 20:19:16",47
47035,"Utrecht-Breukelen; Utrecht-Woerden; Utrecht-Spoorwegmuseum","Almere Oostvaarders - Utrecht Centraal, Amersfoort - Utrecht Centraal, Amsterdam Centraal - Utrecht Centraal, Baarn - Utrecht Centraal, Den Haag Centraal - Utrecht Centraal, Hilversum - Utrecht Centraal, Leiden Centraal - Utrecht Centraal, Rotterdam Centraal - Utrecht Centraal, Schiphol Airport - Utrecht Centraal","40,44,134,136,137,142,143,147,149","Breukelen,Maarssen,Utrecht Centraal,Utrecht Overvecht,Utrecht Terwijde,Utrecht Zuilen,Vleuten,Woerden,Utrecht Leidsche Rijn","BKL, MAS, UT, UTO, UTT, UTZL, VTN, WD, UTLR","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 20:37:38","2023-03-14 20:52:53",15
47036,Eindhoven-Weert,"Eindhoven - Roermond",67,"Geldrop,Heeze,Maarheeze","GP, HZE, MZ",aanrijding,collision,aanrijding,collision,accidents,"2023-03-14 20:53:33","2023-03-14 21:35:39",42
47037,"Den Haag-Rotterdam","Den Haag HS - Rotterdam Centraal",11,"Delft,Delft Campus,Rotterdam Centraal,Schiedam Centrum","DT, DTCP, RTD, SDM",aanrijding,collision,aanrijding,collision,accidents,"2023-03-14 20:55:54","2023-03-14 21:37:41",42
47038,Deventer-Zutphen,"Deventer - Zutphen",86,"Deventer,Zutphen","DV, ZP",aanrijding,collision,aanrijding,collision,accidents,"2023-03-14 21:16:15","2023-03-14 21:28:36",12
47039,Arnhem-Nijmegen,"Arnhem Centraal - Nijmegen",59,"Arnhem Centraal,Arnhem Zuid,Elst,Nijmegen,Nijmegen Lent","AH, AHZ, EST, NM, NML","defecte trein","broken down train","defecte trein","broken down train","rolling stock","2023-03-14 22:20:25","2023-03-14 22:41:48",21
47040,"Schiphol-Rotterdam (HSL)","Rotterdam Centraal - Schiphol Airport (HSL)",24,"Rotterdam Centraal,Schiphol Airport","RTD, SHL","defecte bovenleiding","damaged overhead wires","defecte bovenleiding","damaged overhead wires",infrastructure,"2023-03-14 22:55:44","2023-03-14 23:02:39",7
47041,Zwolle-Kampen,"Kampen - Zwolle",49,"Kampen,Zwolle,Zwolle Stadshagen","KPN, ZL, ZLSH","staking bij Keolis","strike of Keolis staff","staking bij Keolis","strike of Keolis staff",staff,"2023-03-15 05:09:18","2023-03-16 02:02:51",1254
